;vorname;anzahl;geschlecht;position
CW;Armin;3;m;1
CW;Florentina;3;w;1
CW;Aslan;3;m;1
CW;Hala;3;w;1
CW;Azad;3;m;1
CW;Hazal;3;w;1
CW;Aziz;3;m;1
CW;Hedda;3;w;1
CW;Baran;3;m;1
CW;Inga;3;w;1
CW;Bastian;3;m;1
CW;Isabelle;3;w;1
CW;Batuhan;3;m;1
CW;Ivy;3;w;1
CW;Benedikt;3;m;1
CW;Jana;3;w;1
CW;Charles;3;m;1
CW;Jette;3;w;1
CW;Clemens;3;m;1
CW;Juli;3;w;1
CW;Collin;3;m;1
CW;Kamilla;3;w;1
CW;Cornelius;3;m;1
CW;Karlotta;3;w;1
CW;Cosmo;3;m;1
CW;Larin;3;w;1
CW;Damian;3;m;1
CW;Layla;3;w;1
CW;Damián;3;m;1
CW;Lene;3;w;1
CW;Darian;3;m;1
CW;Lilia;3;w;1
CW;Dennis;3;m;1
CW;Linda;3;w;1
CW;Edis;3;m;1
CW;Lisa;3;w;1
CW;Efe;3;m;1
CW;Liva;3;w;1
CW;Elliot;3;m;1
CW;Lou;3;w;1
CW;Emre;3;m;1
CW;Luana;3;w;1
CW;Eric;3;m;1
CW;Lucija;3;w;1
CW;Henning;3;m;1
CW;Lucy;3;w;1
CW;Ibrahim;3;m;1
CW;Lydia;3;w;1
CW;Idris;3;m;1
CW;Malia;3;w;1
CW;Ilian;3;m;1
CW;Malin;3;w;1
CW;Ioannis;3;m;1
CW;Mariam;3;w;1
CW;John;3;m;1
CW;Maryam;3;w;1
CW;Jonte;3;m;1
CW;Matea;3;w;1
CW;Josef;3;m;1
CW;Mathilde;3;w;1
CW;Lasse;3;m;1
CW;Medina;3;w;1
CW;Leandro;3;m;1
CW;Melek;3;w;1
CW;Lennox;3;m;1
CW;Melina;3;w;1
CW;Leonidas;3;m;1
CW;Mika;3;w;1
CW;Lias;3;m;1
CW;Milana;3;w;1
CW;Lorenz;3;m;1
CW;Milla;3;w;1
CW;Lucio;3;m;1
CW;Miriam;3;w;1
CW;Luke;3;m;1
CW;Natalie;3;w;1
CW;Mahir;3;m;1
CW;Nila;3;w;1
CW;Mark;3;m;1
CW;Philippa;3;w;1
CW;Martin;3;m;1
CW;Selin;3;w;1
CW;Matti;3;m;1
CW;Sienna;3;w;1
CW;Mert;3;m;1
CW;Smilla;3;w;1
CW;Mikail;3;m;1
CW;Talia;3;w;1
CW;Mohamed;3;m;1
CW;Thalia;3;w;1
CW;Moses;3;m;1
CW;Toni;3;w;1
CW;Niko;3;m;1
CW;Wilma;3;w;1
CW;Nikolas;3;m;1
CW;Yael;3;w;1
CW;Nino;3;m;1
CW;Yuna;3;w;1
CW;Noa;3;m;1
CW;Zehra;3;w;1
CW;Philip;3;m;1
CW;Zeynep;3;w;1
CW;Sam;3;m;1
CW;Sebastian;3;m;1
CW;Selim;3;m;1
CW;Silas;3;m;1
CW;Stefan;3;m;1
CW;Teo;3;m;1
CW;Thies;3;m;1
CW;Til;3;m;1
CW;Tyler;3;m;1
CW;Valentino;3;m;1
CW;Yassin;3;m;1
CW;Younis;3;m;1
CW;Youssef;3;m;1
CW;Yusuf;3;m;1
CW;August;2;m;4
CW;Charlotte;2;w;4
CW;Ahmed;2;m;3
CW;André;2;m;3
CW;Anh;2;m;3
CW;Arno;2;m;3
CW;Bosse;2;m;3
CW;Christian;2;m;3
CW;Anh;2;w;3
CW;Gerhard;2;m;3
CW;Anna;2;w;3
CW;Henry;2;m;3
CW;Annemarie;2;w;3
CW;Immanuel;2;m;3
CW;Antonia;2;w;3
CW;Jakob;2;m;3
CW;Barbara;2;w;3
CW;Johannes;2;m;3
CW;Christel;2;w;3
CW;Julius;2;m;3
CW;Clara;2;w;3
CW;Leopold;2;m;3
CW;Dorothea;2;w;3
CW;Martin;2;m;3
CW;Erika;2;w;3
CW;Milan;2;m;3
CW;Freya;2;w;3
CW;Moritz;2;m;3
CW;Grace;2;w;3
CW;Otto;2;m;3
CW;Heidi;2;w;3
CW;oğlu;2;m;3
CW;Inge;2;w;3
CW;Peter;2;m;3
